Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Japarts Construction Inc. Rosehall Canje Project 2023;;;;;;;;;;;;;;;;;;;;;
Activities;;30;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;;15;5,7;0,0;C;C;0;C;C;C;C;IP;C;C;C;C;;C;Complete;;;;
Sleep Canes;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;6,7;0,0;C;C;0;C;C;C;C;EC;C;C;C;C;;IP;In Progress;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;6,6;0,0;C;C;0;C;C;C;C;;C;C;C;C;;EC;Estate Complete;;;;
;Ha. Todate;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;;18;4,5;0,0;C;C;0;C;C;C;C;;;C;C;C;;;;;;;
Rake Canes;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;2,2;0,0;C;C;0;C;C;C;C;C;C;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;3,5;0,0;C;C;0;C;C;IP;;;;C;C;C;;;;;;;
;Ha. Todate;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;;21;3,4;0,0;C;C;0;C;C;C;C;;;C;C;C;;;;;;;
Clean Canals;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;3,8;0,0;C;C;0;C;C;C;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;3,8;9,6;C;C;C;C;IP;;;;;C;C;C;;;;;;;
;Ha. Todate;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;103,4;;24;3,8;7,6;C;C;C;C;C;IP;;;;C;C;C;;;;;;;
Grub Sideline;Ha. Day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;3,8;7,6;C;C;C;;;;;;;C;C;C;;;;;;;
;Ha. Week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;3,8;7,6;C;C;C;;;;;;;C;C;C;;;;;;;
;Ha. Todate;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;1,82;;27;3,8;7,6;C;C;IP;;;;;;;C;C;C;;;;;;;
Plough;Ha. Day;0;0;0;0;0;3,8;0;0;;;;;;;;;;;;;;;;;;;;;;28;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;0;0;0;0;0;3,8;0;0;;;;;;;;;;;;;;;;;;;;;;29;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Todate;40,3;40,3;40,3;40,3;40,3;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;44,1;;30;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
Drain Cut 10*32;Ha. Day;0;0;0;0;0;3,8;0;0;;;;;;;;;;;;;;;;;;;;;;31;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Week;0;0;0;0;0;3,8;0;0;;;;;;;;;;;;;;;;;;;;;;32;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Todate;36,4;36,4;36,4;36,4;36,4;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;;33;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
Harrow 1;Ha. Day;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;34;3,8;7,6;C;C;;;;;;;;C;C;C;;;;;;;
;Ha. Week;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;35;3,8;0,0;C;C;0;;;;;;;C;C;C;;;;;;;
;Ha. Todate;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;32,9;;36;3,8;11,5;C;C;;;;;;;;C;C;C;;;;;;;
Harrow 2;Ha. Day;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;37;3,8;11,5;C;C;;;;;;;;C;C;C;;;;;;;
